"n","b","c","mean_us","median_us","min_us","max_us","stddev_us"
10000,0.5,0,852384.9201,844999.135,840908.975,894382.159,18009.9596901356
10000,1,0,2138.601,2127.941,2097.847,2229.498,36.2051384167742
10000,5,0,646909.6317,635116.1375,632088.759,757837.153,39000.3082900522
10000,10,0,618463.9875,612584.526,610842.846,645310.767,13343.7497115577
10000,0.5,0.5,846271.283,841699.168,840849.771,887969.636,14658.0347573419
10000,1,0.5,2177.7929,2171.8315,2119.331,2239.748,33.4721831026235
10000,5,0.5,634551.9406,634300.135,633113.144,637194.079,1276.49454009967
10000,10,0.5,614313.4714,611356.2275,610192.012,641447.501,9556.29973202024
10000,0.5,1,846411.4579,841482.7085,839689.061,873977.894,10833.8673486504
10000,1,1,2283.4663,2290.5675,2181.2,2344.872,56.300327398002
10000,5,1,636466.5873,633520.11,631876.625,664605.9,9948.71607251547
10000,10,1,612107.3352,611994.1465,610357.406,615825.248,1494.8241067392
10000,0.5,2,844578.6841,841105.0985,840040.677,872699.924,10038.2014857646
10000,1,2,2369.9927,2367.586,2347.086,2408.996,20.9517270041292
10000,5,2,636220.0379,633310.436,632364.648,651247.198,6739.34071932469
10000,10,2,611579.739,611790.6225,609834.861,613463.115,976.947466976138
